BOBCAT_ID,NAME,CAPTURE_DATE,INITIAL_OR_RECAPTURE,CAPTURE_LOCATION_GENERAL,CAPTURE_LOCATION_LAT,CAPTURE_LOCATION_LONG,SEX,AGE_ESTIMATE_YEARS,REPRODUCTIVE_CONDITION,ESTIMATED_WEIGHT_LB,ACTUAL_WEIGHT_LB,COLLARED,BLOOD,DNA_SWAB,FECAL,HAIR,ECTOPARASITES,NOTES,RADIO_FREQUENCY,COLLAR_ID,DATE_COLLAR_REMOVED,REASON_FOR_COLLAR_REMOVAL,MORTALITY_DATE,MORTALITY_LOCATION,MORTALITY_LAT,MORTALITY_LONG,CAUSE_OF_DEATH,RODENTICIDE_SAMPLING,NOTES
1,Shannan,11/17/2020,Initial,Via Roma - Gate's Pass,32.236164,-111.071732,F,1.5,NL,16,12.68,Y,Y,N,Y,Y,N,,151.34,719988A,5/14/2022,breakaway,,,,,,,
2,Morgan,11/17/2020,Initial,Int. Wildlife Museum,32.235922,-111.067151,F,3 TO 5,ET,16,13.6,Y,Y,N,N,y,N,,151.35,719989A,1/11/2021,Collar changed,,,,,,,
2,Morgan,1/11/2022,Recapture,C. Sullivan house on Mountainside w. of Anklam,32.231079,-111.052836,F,>5,ET,18,14.58,Y,Y,Y,Y,Y,N,"Very good condition. Upper left canine black at gum ""dead"" Significant tooth wear ",151.47,725538A,6/3/2023,breakaway,,,,,,,
3,Hal,11/19/2020,Initial,Feliz Paseo Park,32.239852,-111.059527,M,3 TO 5,TD,16,17.18,Y,Y,N,N,Y,Y,FLEAS IN EARS - NOT COLLECTED,151.32,719986B,9/16/2021,Mortality,9/13/2021,Ironwood Hills Road,32.250013,-111.054704,Likely vehicle strike,,Severely fractured left femur.  Appeared to have taken  blow to his left temple. Skull was not broken.  Carcass had been scavenged and drug around. Skull retained
4,Dave,11/20/2020,Initial,Starr Pass Golf Course,32.213513,-111.042249,M,2 T0 3,TD,22,19.82,Y,,N,N,Y,N,,151.31,719985B,1/29/2021,Mortality,1/28/2021,Grande Avenue and Paloma,32.2184,-110.989126,Likely shot because of catching chickens,,Collar retrieved from trash can at Grande Avenue and Paloma.  Likely shot by resident with chickens loose on property and non bobcat proof fences at Anecdotally neighbors reported threats of shooting dogs if they caught chickens
4,Dave,12/6/2020,Recapture,Culvert on Starr Pass BLVd,32.213703,-111.052114,,,,,,,,,,,,,,,,,,,,,,,
5,NA,12/3/2020,Initial,End of Camino del Desierto,32.247042,-111.07983,m,1.5,PD,16,9.9,N,Y,N,N,Y,N,,,,,,,,,,,,
6,NA, 12/03/2020,Initial,Starr Pass Golf Course,32.210652,-111.046442,U,yoy Kitten,,,,n,N,Y,Y,N,N,Killed on Starr Pass Blvd by vehicle strike 12/31/2020?  Carcass collected,,,,,1/2/2021,Starr Pass Boulevard,32.20673,-111.03915,Vehicle strike,Y,Mesentary fat.  Blow to the left side of the head. Chest wound.  7.18 pounds carcass weight
7,NA,12/4/2020,Initial,Starr Pass Golf Course,32.210652,-111.046442,U,yoy Kitten,,,,n,N,N,N,N,N,,,,,,,,,,,,
8,Ben,12/8/2020,Initial,Sweetwater Wash,32.270272,-111,M,2 to 3,,21,,y,?,Y,Y,Y,N,,151.33,719987A,6/4/2022,ScheduledBreakaway,,,,,,,
9,Cooper,12/9/2020,Initial,Camp Cooper,32.2407,-111.07996,M,2 to 3,,25,21,y,Y,N,?,Y,N,,151.38,719992B,,Mortality,12/18/2020,Trail's End?,Unknown,Unknown,Vehicle strike?,,"An email from ""brokenheartedin tucson.com""  stated that the person accidentally hit and killed BC Cooper on Trail's End. No carcass retrieved. Collar was in Feliz Paseo Park. Email was shut down"
10,NA,12/10/2020,Initial,Sweetwater Wash,32.269881,-111.084213,M,adult,,,,n,N,Y,,,,,,,,,,,,,,,
11,Minnie,12/13/2020,Initial,Starr Pass Golf Course,32.213703,-111.052114,F,1.5,NL,18,11.6,Y,Y,Y,Y,Y,N,,151.37,719991B,,Mortality,10/11/2021,Starr Pass Boulevard,32.206764,-111.038785,Vehicle Strike,Y,13.14 POUNDS CARCASS WEIGHT. Good condition. Left hind femur compound fracture. Stomach broke open. Stomach was full of large bird (quail) parts. Large amount of blood in the chest cavity
12,Margaret,12/16/2020,Initial,Greasewood/Tumamoc,32.16016,-111.018141,F,3 TO 5,ET,18,13.9,Y,Y,N,N,Y,Y,"Flea in ear collected, sent to L. Hughes for ID and DNA",151.36,719990A,11/30/2021,Recaptured and changed collar,,,,,,,
12,Margaret,11/30/2021,Recapture,Greasewood/Tumamoc,32.216549,-111.019202,,3 to 5,ET,18,16.4,Y,y,y,n,y,,,151.46,725536A,6/7/2023,breakaway,,,,,,,
13,Catherine,12/17/2020,Initial,Small wash off Sweetwater,32.267467,-111.080467,F,2 plus,ET,18,13.44,y,N,N,Y,N,n,,151.39,719993A,1/13/2021,Mortality,1/12/2021,South of Sweetwater on Six Bar Spur Road,32.266846,-111.07232,Human,,"Head had been cut off, collar placed around neck, buried and hid under saguaro skeleton "
14,Bunny,2/9/2021,Initial,west of Sweetwater Preserve,32.2688166,-111.111111,F,2 plus,ET,18,,y,Y,Y,N,Y,Y,,151.39,719993A,6/21/2022,Scheduled Breakaway,,,,,,,
15,Sweetwater,2/11/2021,Initial,Sweetwater Wash,32.270272,-111.083181,m,2 to 3,TD,16,16.6,Y,Y,Y,Y,Y,Y,,151.38,719992B,5/21/2022,Scheduled Breakaway,,,,,,,
16,Jack,2/12/2021,Initial,Anklam Wash,32.225324,-111.037561,m,2 to 3,TD,20,19.9,y,n,y,y,y,Y,,151.31,719985B,11/5/2022,Scheduled Breakaway,,Tucson Mountain Park,32.212969,-111.72832,,,
17,Jonathan,11/8/2021,Initial,Bill Martin,32.2136,-111.037,M,2 to 3,td,18,15.24,y,y,y,y,y,Y,,151.4,725541A,10/10/2022,Mortality,10/10/2022,At residence near Shannon and Starr Pass Bvd.,,,Human - Shot by homeowner because he was stalking chickens loose in the yard,,Good condition - weight 18.7 pounds. Good mesentary fat. Stomach full of rodents
18,Val,11/13/2021,Initial,Greenhill's house Claussen Circle,32.21738,-110.994012,m,3 to 4,Td,16,19.6,Y,Y,Y,N,Y,Y,,151.41,725542A,6/4/2023,breakaway,,,,,,,
19,D2,11/19/2021,Initial,Calle Morado,32.214235,-111.025882,M,2 to 3,TD,22,18.4,Y,y,y,y,y,n,,151.42,725543A,11/22/2021,Mortality,11/20/2022,Greasewood and Calle Morego,32.244121,-111.016561,Unknown- capture related? ,,Handling and release normal. Necropsy showed no signs of trauma. Perhaps excess blood in pericardium
20,Elsie,11/19/2021,Initial,Greasewood/Tumamoc,32.213985,-111.007632,F,1.5,NL,15,13.5,Y,Y,Y,Y,Y,N,,151.44,725534A,6/1/2023,,,,,,,,
21,Steve,11/20/20/2021,Initial,TMP west 36th Street #1,32.193447,-111.02177,m,2 to 3,TD,20,,y,Y,Y,Y,Y,N,,151.43,725233A,11/4/2022,Mortality,11/3/2022,44th Street and La Cholla,32.185405,-111.72832,Human - Collar cut off and left by side of road. No carcass retrieved,,
22,NA,12/1/2021,Initial,TMP west 36th Street #2,32.193233,-111.022056,m,,,17.6,,n,N,,,,,,,,,,,,,,,,
23,NA,1/11/2022,Initial,Internationl Wildlife Museum Set # 1,32.235922,-111.067151,M, less than 1,TD,18,9.9,n,Y,Y,Y,Y,N,,,,,,,,,,,,
